Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
0,699,1006,1377,2283,4190,1797,6213,2457,4009,792,2249,57796,1665,3005,1123,1100,404,2165,527,1700,1520,2774,868,935,748,743,3544,1932,1340,1129,1792,1710
1,649,1004,1360,2284,4115,1881,5699,2437,3894,757,2217,56420,1550,2987,1121,1008,406,2235,482,1531,1566,2638,821,937,764,766,3673,1808,1266,1158,1724,1682
2,689,1061,1473,2306,4290,1971,5830,2489,4308,792,2349,59210,1651,3102,1179,1169,453,2373,544,1694,1526,2851,870,945,893,764,3734,1836,1329,1108,1835,1796
3,754,1085,1468,2294,4437,2074,5580,2613,4384,799,2438,60484,1714,3120,1203,1219,432,2352,583,1603,1557,2928,900,1009,859,825,3856,2048,1476,1148,1864,1862
4,745,1047,1505,2243,4620,2089,5624,2658,4422,830,2543,61505,1720,3267,1234,1220,450,2467,559,1732,1593,3026,873,1007,833,820,3870,2072,1390,1208,1941,1897
5,749,1143,1620,2362,4753,2174,5575,2868,4639,849,2612,64026,1873,3296,1337,1248,447,2484,646,1793,1712,3121,882,1099,913,819,4053,2070,1515,1276,2022,2076
6,750,1176,1656,2496,5072,2224,5813,2879,4863,855,2720,66714,1848,3506,1432,1328,468,2621,624,1922,1764,3216,995,1079,923,824,4198,2202,1627,1352,2165,2116
7,889,1162,1663,2564,5342,2212,5912,2974,5053,893,2659,69001,1957,3655,1467,1409,493,2603,676,1950,1798,3439,968,1238,1011,934,4394,2236,1689,1331,2233,2197
8,819,1217,1670,2516,5410,2319,6086,2985,5360,923,2915,70733,1876,3699,1483,1446,509,2770,661,2059,1792,3593,991,1216,982,942,4503,2314,1736,1412,2292,2237
9,882,1289,1806,2617,5501,2391,5970,3004,5400,942,2890,72196,2071,3832,1529,1435,542,2825,746,2124,1886,3637,990,1210,1029,960,4522,2267,1727,1454,2354,2364
10,921,1312,1874,2580,5652,2510,6174,3035,5674,888,2974,74101,2066,3875,1618,1562,502,2868,728,2125,1907,3756,1034,1293,1008,1018,4797,2475,1775,1405,2373,2322
11,964,1328,1821,2695,5852,2584,6056,3020,5467,971,2978,75159,2116,4081,1609,1553,531,2979,734,2186,1975,3898,1007,1267,1058,956,4732,2431,1877,1484,2410,2539
12,908,1317,1983,2690,5901,2624,6284,2991,5792,881,2943,76254,2255,4041,1600,1625,532,2883,731,2211,1962,3876,1057,1300,1047,1027,4855,2571,1933,1466,2443,2525
13,943,1343,1874,2594,5833,2632,6039,2976,5485,979,3039,75256,2194,3967,1612,1533,497,2951,763,2303,1888,3785,1050,1356,1037,983,4677,2502,1927,1426,2621,2447
14,951,1262,1848,2541,5634,2610,5748,2917,5298,881,3044,73432,2200,3944,1547,1553,495,2898,724,2161,1916,3694,1024,1276,996,992,4581,2522,1856,1422,2413,2484
15,843,1271,1888,2551,5424,2473,5442,2775,4948,877,2775,70440,2128,3750,1588,1474,528,2744,742,2140,1840,3500,961,1252,1002,954,4273,2428,1826,1362,2361,2320
16,873,1161,1850,2421,5171,2441,5408,2733,4531,862,2963,67814,2007,3516,1456,1313,494,2727,667,2071,1878,3275,911,1166,1014,916,4082,2312,1811,1348,2305,2131
17,877,1186,1844,2447,5105,2366,5640,2772,4566,854,2786,68026,2103,3618,1465,1421,496,2615,645,2041,1831,3195,976,1162,963,933,4112,2456,1725,1328,2266,2232
18,903,1107,1690,2648,4786,2285,6434,2938,4473,1033,2546,66752,1928,3596,1414,1299,449,2701,609,1952,1749,3089,799,1221,899,897,3971,2135,1699,1264,2226,2012
19,827,915,1650,3405,4230,1813,7345,3236,4358,1764,2251,64596,1678,3490,1125,1130,329,2889,563,1770,1418,2892,734,1018,728,922,3952,1776,1593,1117,1813,1865
20,810,843,1567,3541,3787,1805,8103,3277,4153,2024,2052,63744,1630,3333,1089,1047,344,2932,561,1917,1310,2730,653,991,696,877,3700,1823,1564,1105,1764,1716
21,813,832,1352,3518,3571,1708,8140,3085,3792,2084,1850,60661,1518,3050,1045,1025,277,2657,507,1711,1263,2546,668,882,688,858,3683,1755,1481,1097,1582,1623
