"Statistic Label","CensusYear","Sex","Single Year of Age","Administrative Counties","UNIT","VALUE"
"Population","2022","Both sexes","All ages","Ireland","Number","5149139"
"Population","2022","Both sexes","All ages","Carlow County Council","Number","61968"
"Population","2022","Both sexes","All ages","Dublin City Council","Number","592713"
"Population","2022","Both sexes","All ages","Dún Laoghaire Rathdown County Council","Number","233860"
"Population","2022","Both sexes","All ages","Fingal County Council","Number","330506"
"Population","2022","Both sexes","All ages","South Dublin County Council","Number","301075"
"Population","2022","Both sexes","All ages","Kildare County Council","Number","247774"
"Population","2022","Both sexes","All ages","Kilkenny County Council","Number","104160"
"Population","2022","Both sexes","All ages","Laois County Council","Number","91877"
"Population","2022","Both sexes","All ages","Longford County Council","Number","46751"
"Population","2022","Both sexes","All ages","Louth County Council","Number","139703"
"Population","2022","Both sexes","All ages","Meath County Council","Number","220826"
"Population","2022","Both sexes","All ages","Offaly County Council","Number","83150"
"Population","2022","Both sexes","All ages","Westmeath County Council","Number","96221"
"Population","2022","Both sexes","All ages","Wexford County Council","Number","163919"
"Population","2022","Both sexes","All ages","Wicklow County Council","Number","155851"
"Population","2022","Both sexes","All ages","Clare County Council","Number","127938"
"Population","2022","Both sexes","All ages","Cork City Council","Number","224004"
"Population","2022","Both sexes","All ages","Cork County Council","Number","360152"
"Population","2022","Both sexes","All ages","Kerry County Council","Number","156458"
"Population","2022","Both sexes","All ages","Limerick City & County Council","Number","209536"
"Population","2022","Both sexes","All ages","Tipperary County Council","Number","167895"
"Population","2022","Both sexes","All ages","Waterford City & County Council","Number","127363"
"Population","2022","Both sexes","All ages","Galway City Council","Number","84414"
"Population","2022","Both sexes","All ages","Galway County Council","Number","193323"
"Population","2022","Both sexes","All ages","Leitrim County Council","Number","35199"
"Population","2022","Both sexes","All ages","Mayo  County Council","Number","137970"
"Population","2022","Both sexes","All ages","Roscommon County Council","Number","70259"
"Population","2022","Both sexes","All ages","Sligo County Council","Number","70198"
"Population","2022","Both sexes","All ages","Cavan County Council","Number","81704"
"Population","2022","Both sexes","All ages","Donegal County Council","Number","167084"
"Population","2022","Both sexes","All ages","Monaghan County Council","Number","65288"
"Population","2022","Both sexes","Under 1 year","Ireland","Number","57796"
"Population","2022","Both sexes","Under 1 year","Carlow County Council","Number","699"
"Population","2022","Both sexes","Under 1 year","Dublin City Council","Number","6213"
"Population","2022","Both sexes","Under 1 year","Dún Laoghaire Rathdown County Council","Number","2457"
"Population","2022","Both sexes","Under 1 year","Fingal County Council","Number","4009"
"Population","2022","Both sexes","Under 1 year","South Dublin County Council","Number","3544"
"Population","2022","Both sexes","Under 1 year","Kildare County Council","Number","3005"
"Population","2022","Both sexes","Under 1 year","Kilkenny County Council","Number","1123"
"Population","2022","Both sexes","Under 1 year","Laois County Council","Number","1100"
"Population","2022","Both sexes","Under 1 year","Longford County Council","Number","527"
"Population","2022","Both sexes","Under 1 year","Louth County Council","Number","1700"
"Population","2022","Both sexes","Under 1 year","Meath County Council","Number","2774"
"Population","2022","Both sexes","Under 1 year","Offaly County Council","Number","935"
"Population","2022","Both sexes","Under 1 year","Westmeath County Council","Number","1129"
"Population","2022","Both sexes","Under 1 year","Wexford County Council","Number","1792"
"Population","2022","Both sexes","Under 1 year","Wicklow County Council","Number","1710"
"Population","2022","Both sexes","Under 1 year","Clare County Council","Number","1377"
"Population","2022","Both sexes","Under 1 year","Cork City Council","Number","2283"
"Population","2022","Both sexes","Under 1 year","Cork County Council","Number","4190"
"Population","2022","Both sexes","Under 1 year","Kerry County Council","Number","1665"
"Population","2022","Both sexes","Under 1 year","Limerick City & County Council","Number","2165"
"Population","2022","Both sexes","Under 1 year","Tipperary County Council","Number","1932"
"Population","2022","Both sexes","Under 1 year","Waterford City & County Council","Number","1340"
"Population","2022","Both sexes","Under 1 year","Galway City Council","Number","792"
"Population","2022","Both sexes","Under 1 year","Galway County Council","Number","2249"
"Population","2022","Both sexes","Under 1 year","Leitrim County Council","Number","404"
"Population","2022","Both sexes","Under 1 year","Mayo  County Council","Number","1520"
"Population","2022","Both sexes","Under 1 year","Roscommon County Council","Number","748"
"Population","2022","Both sexes","Under 1 year","Sligo County Council","Number","743"
"Population","2022","Both sexes","Under 1 year","Cavan County Council","Number","1006"
"Population","2022","Both sexes","Under 1 year","Donegal County Council","Number","1797"
"Population","2022","Both sexes","Under 1 year","Monaghan County Council","Number","868"
"Population","2022","Both sexes","1 year","Ireland","Number","56420"
"Population","2022","Both sexes","1 year","Carlow County Council","Number","649"
"Population","2022","Both sexes","1 year","Dublin City Council","Number","5699"
"Population","2022","Both sexes","1 year","Dún Laoghaire Rathdown County Council","Number","2437"
"Population","2022","Both sexes","1 year","Fingal County Council","Number","3894"
"Population","2022","Both sexes","1 year","South Dublin County Council","Number","3673"
"Population","2022","Both sexes","1 year","Kildare County Council","Number","2987"
"Population","2022","Both sexes","1 year","Kilkenny County Council","Number","1121"
"Population","2022","Both sexes","1 year","Laois County Council","Number","1008"
"Population","2022","Both sexes","1 year","Longford County Council","Number","482"
"Population","2022","Both sexes","1 year","Louth County Council","Number","1531"
"Population","2022","Both sexes","1 year","Meath County Council","Number","2638"
"Population","2022","Both sexes","1 year","Offaly County Council","Number","937"
"Population","2022","Both sexes","1 year","Westmeath County Council","Number","1158"
"Population","2022","Both sexes","1 year","Wexford County Council","Number","1724"
"Population","2022","Both sexes","1 year","Wicklow County Council","Number","1682"
"Population","2022","Both sexes","1 year","Clare County Council","Number","1360"
"Population","2022","Both sexes","1 year","Cork City Council","Number","2284"
"Population","2022","Both sexes","1 year","Cork County Council","Number","4115"
"Population","2022","Both sexes","1 year","Kerry County Council","Number","1550"
"Population","2022","Both sexes","1 year","Limerick City & County Council","Number","2235"
"Population","2022","Both sexes","1 year","Tipperary County Council","Number","1808"
"Population","2022","Both sexes","1 year","Waterford City & County Council","Number","1266"
"Population","2022","Both sexes","1 year","Galway City Council","Number","757"
"Population","2022","Both sexes","1 year","Galway County Council","Number","2217"
"Population","2022","Both sexes","1 year","Leitrim County Council","Number","406"
"Population","2022","Both sexes","1 year","Mayo  County Council","Number","1566"
"Population","2022","Both sexes","1 year","Roscommon County Council","Number","764"
"Population","2022","Both sexes","1 year","Sligo County Council","Number","766"
"Population","2022","Both sexes","1 year","Cavan County Council","Number","1004"
"Population","2022","Both sexes","1 year","Donegal County Council","Number","1881"
"Population","2022","Both sexes","1 year","Monaghan County Council","Number","821"
"Population","2022","Both sexes","2 years","Ireland","Number","59210"
"Population","2022","Both sexes","2 years","Carlow County Council","Number","689"
"Population","2022","Both sexes","2 years","Dublin City Council","Number","5830"
"Population","2022","Both sexes","2 years","Dún Laoghaire Rathdown County Council","Number","2489"
"Population","2022","Both sexes","2 years","Fingal County Council","Number","4308"
"Population","2022","Both sexes","2 years","South Dublin County Council","Number","3734"
"Population","2022","Both sexes","2 years","Kildare County Council","Number","3102"
"Population","2022","Both sexes","2 years","Kilkenny County Council","Number","1179"
"Population","2022","Both sexes","2 years","Laois County Council","Number","1169"
"Population","2022","Both sexes","2 years","Longford County Council","Number","544"
"Population","2022","Both sexes","2 years","Louth County Council","Number","1694"
"Population","2022","Both sexes","2 years","Meath County Council","Number","2851"
"Population","2022","Both sexes","2 years","Offaly County Council","Number","945"
"Population","2022","Both sexes","2 years","Westmeath County Council","Number","1108"
"Population","2022","Both sexes","2 years","Wexford County Council","Number","1835"
"Population","2022","Both sexes","2 years","Wicklow County Council","Number","1796"
"Population","2022","Both sexes","2 years","Clare County Council","Number","1473"
"Population","2022","Both sexes","2 years","Cork City Council","Number","2306"
"Population","2022","Both sexes","2 years","Cork County Council","Number","4290"
"Population","2022","Both sexes","2 years","Kerry County Council","Number","1651"
"Population","2022","Both sexes","2 years","Limerick City & County Council","Number","2373"
"Population","2022","Both sexes","2 years","Tipperary County Council","Number","1836"
"Population","2022","Both sexes","2 years","Waterford City & County Council","Number","1329"
"Population","2022","Both sexes","2 years","Galway City Council","Number","792"
"Population","2022","Both sexes","2 years","Galway County Council","Number","2349"
"Population","2022","Both sexes","2 years","Leitrim County Council","Number","453"
"Population","2022","Both sexes","2 years","Mayo  County Council","Number","1526"
"Population","2022","Both sexes","2 years","Roscommon County Council","Number","893"
"Population","2022","Both sexes","2 years","Sligo County Council","Number","764"
"Population","2022","Both sexes","2 years","Cavan County Council","Number","1061"
"Population","2022","Both sexes","2 years","Donegal County Council","Number","1971"
"Population","2022","Both sexes","2 years","Monaghan County Council","Number","870"
"Population","2022","Both sexes","3 years","Ireland","Number","60484"
