latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C),wind_speed_10m (km/h)
2025-10-09T00:00,13.3,8.7
2025-10-09T01:00,13.3,7.6
2025-10-09T02:00,13.3,7.9
2025-10-09T03:00,13.3,9.3
2025-10-09T04:00,13.2,8.9
2025-10-09T05:00,13.0,7.4
2025-10-09T06:00,12.3,9.0
2025-10-09T07:00,12.2,8.1
2025-10-09T08:00,12.6,9.3
2025-10-09T09:00,13.4,11.1
2025-10-09T10:00,14.0,12.9
2025-10-09T11:00,14.5,12.8
2025-10-09T12:00,14.6,12.0
2025-10-09T13:00,14.3,10.5
2025-10-09T14:00,14.4,8.8
2025-10-09T15:00,14.2,11.2
2025-10-09T16:00,14.0,10.8
2025-10-09T17:00,13.6,10.4
2025-10-09T18:00,13.1,10.4
2025-10-09T19:00,13.1,11.5
2025-10-09T20:00,13.1,12.6
2025-10-09T21:00,13.0,14.1
2025-10-09T22:00,13.0,14.4
2025-10-09T23:00,13.1,15.8
2025-10-10T00:00,13.1,15.8
2025-10-10T01:00,13.0,15.9
2025-10-10T02:00,12.9,15.8
2025-10-10T03:00,12.9,15.9
2025-10-10T04:00,12.8,15.3
2025-10-10T05:00,12.8,15.6
2025-10-10T06:00,12.6,16.4
2025-10-10T07:00,12.7,15.4
2025-10-10T08:00,13.3,16.5
2025-10-10T09:00,14.0,17.6
2025-10-10T10:00,14.6,17.4
2025-10-10T11:00,15.1,17.0
2025-10-10T12:00,15.5,15.2
2025-10-10T13:00,15.9,15.8
2025-10-10T14:00,16.1,14.3
2025-10-10T15:00,16.2,14.7
2025-10-10T16:00,16.1,15.3
2025-10-10T17:00,15.8,13.1
2025-10-10T18:00,15.3,13.4
2025-10-10T19:00,14.7,14.5
2025-10-10T20:00,14.1,13.8
2025-10-10T21:00,13.7,13.4
2025-10-10T22:00,13.6,13.7
2025-10-10T23:00,13.3,13.5
2025-10-11T00:00,12.9,13.0
2025-10-11T01:00,12.7,14.2
2025-10-11T02:00,12.6,14.1
2025-10-11T03:00,12.3,15.5
2025-10-11T04:00,12.1,14.8
2025-10-11T05:00,12.2,13.4
2025-10-11T06:00,12.1,12.3
2025-10-11T07:00,12.2,12.6
2025-10-11T08:00,12.7,13.4
2025-10-11T09:00,13.6,14.3
2025-10-11T10:00,14.7,14.7
2025-10-11T11:00,15.2,15.4
2025-10-11T12:00,15.7,13.3
2025-10-11T13:00,15.9,15.5
2025-10-11T14:00,15.5,13.9
2025-10-11T15:00,15.4,11.7
2025-10-11T16:00,14.7,10.5
2025-10-11T17:00,14.2,7.4
2025-10-11T18:00,13.9,10.6
2025-10-11T19:00,13.7,10.5
2025-10-11T20:00,13.2,10.0
2025-10-11T21:00,12.8,9.4
2025-10-11T22:00,12.6,9.9
2025-10-11T23:00,12.3,10.3
2025-10-12T00:00,11.9,10.7
2025-10-12T01:00,11.5,11.1
2025-10-12T02:00,11.0,11.3
2025-10-12T03:00,10.8,11.3
2025-10-12T04:00,10.7,10.1
2025-10-12T05:00,10.8,12.1
2025-10-12T06:00,10.8,11.0
2025-10-12T07:00,10.9,10.9
2025-10-12T08:00,11.6,11.6
2025-10-12T09:00,12.1,12.6
2025-10-12T10:00,12.4,13.3
2025-10-12T11:00,12.5,13.0
2025-10-12T12:00,12.6,11.9
2025-10-12T13:00,12.8,11.7
2025-10-12T14:00,12.9,11.0
2025-10-12T15:00,13.1,10.4
2025-10-12T16:00,13.1,9.8
2025-10-12T17:00,13.1,8.8
2025-10-12T18:00,13.1,7.9
2025-10-12T19:00,13.1,7.1
2025-10-12T20:00,13.2,6.6
2025-10-12T21:00,13.1,5.9
2025-10-12T22:00,13.0,4.8
2025-10-12T23:00,12.8,4.7
2025-10-13T00:00,12.5,5.4
2025-10-13T01:00,12.2,5.1
2025-10-13T02:00,11.8,4.2
2025-10-13T03:00,11.4,3.7
2025-10-13T04:00,10.9,3.6
2025-10-13T05:00,10.5,3.8
2025-10-13T06:00,10.3,4.2
2025-10-13T07:00,10.8,5.4
2025-10-13T08:00,11.6,7.0
2025-10-13T09:00,12.4,8.8
2025-10-13T10:00,12.9,9.4
